Time[s], Channel 4
0.53033700, 0
0.53035708, 1
0.53036142, 0
0.53038150, 1
0.53038584, 0
0.53040590, 1
0.53041026, 0
0.53043032, 1
0.53043468, 0
0.53045474, 1
0.53045910, 0
0.53047916, 1
0.53048350, 0
0.53050358, 1
0.53050794, 0
0.53052800, 1
0.53053234, 0
0.53055240, 1
0.53055676, 0
0.53057682, 1
0.53058116, 0
0.53060124, 1
0.53060560, 0
0.53062566, 1
0.53063000, 0
0.53065006, 1
0.53065442, 0
0.53067450, 1
0.53067884, 0
0.53069890, 1
0.53070324, 0
0.53072330, 1
0.53072764, 0
0.53074770, 1
0.53075206, 0
0.53077212, 1
0.53077648, 0
0.53079654, 1
0.53080090, 0
0.53082096, 1
0.53082532, 0
0.53084538, 1
0.53084974, 0
0.53086980, 1
0.53087416, 0
0.53089422, 1
0.53089856, 0
0.53091862, 1
0.53092298, 0
0.53094304, 1
0.53094738, 0
0.53096746, 1
0.53097180, 0
0.53099188, 1
0.53099622, 0
0.53101630, 1
0.53102064, 0
0.53104070, 1
0.53104506, 0
0.53106512, 1
0.53106946, 0
0.53108952, 1
0.53109388, 0
0.53111394, 1
0.53111828, 0
0.53113834, 1
0.53114270, 0
0.53116276, 1
0.53116710, 0
0.53118718, 1
0.53119152, 0
0.53121158, 1
0.53121594, 0
0.53123600, 1
0.53124034, 0
0.53126040, 1
0.53126476, 0
0.53128482, 1
0.53128916, 0
0.53130924, 1
0.53131358, 0
0.53133364, 1
0.53133800, 0
0.53135806, 1
0.53136242, 0
0.53138248, 1
0.53138684, 0
0.53140690, 1
0.53141124, 0
0.53143130, 1
0.53143566, 0
0.53145570, 1
0.53146006, 0
0.53148012, 1
0.53148446, 0
0.53150452, 1
0.53150888, 0
0.53152894, 1
0.53153328, 0
0.53155334, 1
0.53155770, 0
0.53157776, 1
0.53158210, 0
0.53160216, 1
0.53160652, 0
0.53162658, 1
0.53163092, 0
0.53165098, 1
0.53165534, 0
0.53167540, 1
0.53167974, 0
0.53169982, 1
0.53170418, 0
0.53172424, 1
0.53172860, 0
0.53174868, 1
0.53175302, 0
0.53177310, 1
0.53177744, 0
0.53179752, 1
0.53180186, 0
0.53182194, 1
0.53182628, 0
0.53184636, 1
0.53185070, 0
0.53187078, 1
0.53187512, 0
0.53189520, 1
0.53189956, 0
0.53191962, 1
0.53192398, 0
0.53194404, 1
0.53194838, 0
0.53196844, 1
0.53197280, 0
0.53199286, 1
0.53199722, 0
0.53201730, 1
0.53202164, 0
0.53204172, 1
0.53204606, 0
0.53206614, 1
0.53207048, 0
0.53209056, 1
0.53209490, 0
0.53211496, 1
0.53211932, 0
0.53213938, 1
0.53214374, 0
0.53216382, 1
0.53216816, 0
0.53218824, 1
0.53219258, 0
0.53221264, 1
0.53221700, 0
0.53223706, 1
0.53224140, 0
0.53226148, 1
0.53226582, 0
0.53228590, 1
0.53229024, 0
0.53231030, 1
0.53231466, 0
0.53233472, 1
0.53233906, 0
0.53235914, 1
0.53236350, 0
0.53238356, 1
0.53238790, 0
0.53240798, 1
0.53241232, 0
0.53243240, 1
0.53243674, 0
0.53245682, 1
0.53246116, 0
0.53248124, 1
0.53248560, 0
0.53250566, 1
0.53251002, 0
0.53253008, 1
0.53253444, 0
0.53255452, 1
0.53255886, 0
0.53257892, 1
0.53258328, 0
0.53260334, 1
0.53260770, 0
0.53262776, 1
0.53263212, 0
0.53265218, 1
0.53265654, 0
0.53267660, 1
0.53268094, 0
0.53270102, 1
0.53270536, 0
0.53272544, 1
0.53272978, 0
0.53274984, 1
0.53275420, 0
0.53277426, 1
0.53277862, 0
0.53279870, 1
0.53280304, 0
0.53282310, 1
0.53282746, 0
0.53284752, 1
0.53285186, 0
0.53287192, 1
0.53287628, 0
0.53289634, 1
0.53290068, 0
0.53292076, 1
0.53292510, 0
0.53294518, 1
0.53294952, 0
0.53296960, 1
0.53297394, 0
0.53299400, 1
0.53299836, 0
0.53301842, 1
0.53302278, 0
0.53304284, 1
0.53304718, 0
0.53306724, 1
0.53307160, 0
0.53309166, 1
0.53309600, 0
0.53311606, 1
0.53312040, 0
