Time [s],Packet ID,MOSI,MISO
8.9622151000,12869,0x25,
8.9622249400,12869,0x40,
8.9623187600,12870,0xA0,
8.9623316600,12870,0xC0,
8.9623445400,12870,0xB6,
8.9623574400,12870,0xDE,
8.9623703400,12870,0x24,
8.9623832400,12870,0x7D,
8.9623959400,12870,0x7D,
8.9624086600,12870,0x7D,
8.9624213600,12870,0x7D,
8.9624395600,12870,0x20,
8.9624524400,12870,0x20,
8.9624653400,12870,0x20,
8.9624782200,12870,0x40,
8.9624911200,12870,0x82,
8.9625040200,12870,0x26,
8.9625169000,12870,0x40,
8.9625298000,12870,0x04,
8.9625427000,12870,0x40,
8.9625556000,12870,0x21,
8.9625738000,12870,0x00,
8.9625867000,12870,0x00,
8.9625996000,12870,0x00,
8.9626124800,12870,0x00,
8.9626253800,12870,0x00,
8.9626382800,12870,0x00,
8.9638194200,12871,0x07,
8.9638288400,12871,0x2E,
8.9638446600,12872,0x27,
8.9638545000,12872,0x2E,
8.9638690800,12873,0xE1,
8.9638789200,12873,0x00,
8.9638935000,12874,0x20,
8.9639035400,12874,0x8F,
8.9688143000,12875,0x07,
8.9688237000,12875,0x0E,
8.9688412600,12876,0x20,
8.9688513000,12876,0x8E,
8.9691869600,12877,0x25,
8.9691968000,12877,0x40,
8.9692845800,12878,0xA0,
8.9692974600,12878,0x80,
8.9693164000,12878,0xB6,
8.9693293000,12878,0xDE,
8.9693422000,12878,0x24,
8.9693550800,12878,0x7D,
8.9693677800,12878,0x7D,
8.9693804800,12878,0x7D,
8.9693932000,12878,0x7D,
8.9694059000,12878,0x20,
8.9694188000,12878,0x20,
8.9694371600,12878,0x20,
8.9694500600,12878,0x40,
8.9694629400,12878,0xC2,
8.9694758400,12878,0x26,
8.9694887200,12878,0x40,
8.9695016200,12878,0x04,
8.9695145000,12878,0x40,
8.9695273800,12878,0x21,
8.9695400800,12878,0x00,
8.9695584600,12878,0x00,
8.9695713400,12878,0x00,
8.9695842400,12878,0x00,
8.9695971200,12878,0x00,
8.9696100000,12878,0x00,
8.9708106000,12879,0x07,
8.9708200000,12879,0x2E,
8.9708358200,12880,0x27,
8.9708456600,12880,0x2E,
8.9708602400,12881,0xE1,
8.9708700800,12881,0x00,
8.9708846600,12882,0x20,
8.9708947000,12882,0x8F,
8.9758079800,12883,0x07,
8.9758173800,12883,0x0E,
8.9758349600,12884,0x20,
8.9758449800,12884,0x8E,
8.9761950800,12885,0x25,
8.9762049200,12885,0x38,
8.9762987400,12886,0xA0,
8.9763116200,12886,0xC0,
8.9763245200,12886,0xB6,
8.9763374000,12886,0xDE,
8.9763503000,12886,0x24,
8.9763632000,12886,0x7D,
8.9763759000,12886,0x7D,
8.9763886200,12886,0x7D,
8.9764013200,12886,0x7D,
8.9764195200,12886,0x20,
8.9764324200,12886,0x20,
8.9764453000,12886,0x20,
8.9764582000,12886,0x40,
8.9764711000,12886,0x82,
8.9764840000,12886,0x26,
8.9764969000,12886,0x40,
8.9765098000,12886,0x04,
8.9765226800,12886,0x40,
8.9765355800,12886,0x21,
8.9765537800,12886,0x00,
8.9765666800,12886,0x00,
8.9765795800,12886,0x00,
8.9765924600,12886,0x00,
8.9766053600,12886,0x00,
8.9766182400,12886,0x00,
8.9778256200,12887,0x07,
8.9778350400,12887,0x2E,
8.9778508400,12888,0x27,
8.9778606800,12888,0x2E,
8.9778752600,12889,0xE1,
8.9778851000,12889,0x00,
8.9778996600,12890,0x20,
8.9779096800,12890,0x8F,
8.9827909400,12891,0x07,
8.9828003400,12891,0x0E,
8.9828179000,12892,0x20,
8.9828279400,12892,0x8E,
8.9831807800,12893,0x25,
8.9831906200,12893,0x38,
8.9832784200,12894,0xA0,
8.9832973600,12894,0x80,
8.9833102600,12894,0xB6,
8.9833231600,12894,0xDE,
8.9833360600,12894,0x24,
8.9833489400,12894,0x7D,
8.9833616600,12894,0x7D,
8.9833743600,12894,0x7D,
8.9833870800,12894,0x7D,
8.9833997800,12894,0x20,
8.9834181600,12894,0x20,
8.9834310400,12894,0x20,
8.9834439400,12894,0x40,
8.9834568400,12894,0xC2,
8.9834697400,12894,0x26,
8.9834826200,12894,0x40,
8.9834955200,12894,0x04,
8.9835084200,12894,0x40,
8.9835213200,12894,0x21,
8.9835395000,12894,0x00,
8.9835524000,12894,0x00,
8.9835653000,12894,0x00,
8.9835782000,12894,0x00,
8.9835910800,12894,0x00,
8.9836039800,12894,0x00,
8.9848045000,12895,0x07,
8.9848139000,12895,0x2E,
8.9848297200,12896,0x27,
8.9848395600,12896,0x2E,
8.9848541400,12897,0xE1,
8.9848639800,12897,0x00,
8.9848785600,12898,0x20,
8.9848886000,12898,0x8F,
8.9898095400,12899,0x07,
8.9898189600,12899,0x0E,
8.9898365200,12900,0x20,
8.9898465400,12900,0x8E,
8.9901695400,12901,0x25,
8.9901793600,12901,0x3E,
8.9902671400,12902,0xA0,
8.9902860800,12902,0xC0,
8.9902989800,12902,0xB6,
8.9903118800,12902,0xDE,
8.9903247600,12902,0x24,
8.9903376600,12902,0x7D,
8.9903503600,12902,0x7D,
8.9903630600,12902,0x7D,
8.9903757600,12902,0x7D,
8.9903884800,12902,0x20,
8.9904068400,12902,0x20,
8.9904197400,12902,0x20,
8.9904326200,12902,0x40,
8.9904455200,12902,0x82,
8.9904584200,12902,0x26,
8.9904713000,12902,0x40,
8.9904842000,12902,0x04,
8.9904971000,12902,0x40,
8.9905099800,12902,0x21,
8.9905281600,12902,0x00,
8.9905410600,12902,0x00,
8.9905539600,12902,0x00,
8.9905668400,12902,0x00,
8.9905797400,12902,0x00,
8.9905926200,12902,0x00,
8.9917839000,12903,0x07,
8.9917933200,12903,0x2E,
8.9918091400,12904,0x27,
8.9918189800,12904,0x2E,
8.9918335400,12905,0xE1,
8.9918433800,12905,0x00,
8.9918579600,12906,0x20,
8.9918680000,12906,0x8F,
8.9967857200,12907,0x07,
8.9967951200,12907,0x0E,
8.9968127000,12908,0x20,
8.9968227200,12908,0x8E,
8.9971784800,12909,0x25,
8.9971883200,12909,0x3E,
8.9972821800,12910,0xA0,
8.9972950600,12910,0x80,
8.9973079600,12910,0xB6,
8.9973208400,12910,0xDE,
8.9973337400,12910,0x24,
8.9973466200,12910,0x7D,
8.9973593200,12910,0x7D,
8.9973720200,12910,0x7D,
8.9973847400,12910,0x7D,
8.9974029200,12910,0x20,
8.9974158200,12910,0x20,
8.9974287000,12910,0x20,
8.9974416000,12910,0x40,
8.9974545000,12910,0xC2,
8.9974673800,12910,0x26,
8.9974802800,12910,0x40,
8.9974931800,12910,0x04,
8.9975060600,12910,0x40,
8.9975244400,12910,0x21,
8.9975371400,12910,0x00,
8.9975500400,12910,0x00,
8.9975629400,12910,0x00,
8.9975758200,12910,0x00,
8.9975887200,12910,0x00,
8.9976016000,12910,0x00,
8.9987773800,12911,0x07,
8.9987868000,12911,0x2E,
8.9988026200,12912,0x27,
8.9988124600,12912,0x2E,
8.9988270400,12913,0xE1,
8.9988368800,12913,0x00,
8.9988514600,12914,0x20,
8.9988615000,12914,0x8F,
9.0037645400,12915,0x07,
9.0037739400,12915,0x0E,
9.0037915000,12916,0x20,
9.0038015200,12916,0x8E,
9.0041584600,12917,0x25,
9.0041683000,12917,0x46,
9.0042621400,12918,0xA0,
9.0042750400,12918,0xC0,
9.0042879400,12918,0xB6,
9.0043008400,12918,0xDE,
9.0043137200,12918,0x24,
9.0043266200,12918,0x7D,
9.0043393200,12918,0x7D,
9.0043520200,12918,0x7D,
9.0043647400,12918,0x7D,
9.0043829200,12918,0x20,
9.0043958000,12918,0x20,
9.0044087000,12918,0x20,
9.0044216000,12918,0x40,
9.0044345000,12918,0x82,
9.0044473800,12918,0x26,
9.0044602800,12918,0x40,
9.0044731800,12918,0x04,
9.0044860800,12918,0x40,
9.0044989800,12918,0x21,
9.0045171600,12918,0x00,
9.0045300600,12918,0x00,
9.0045429400,12918,0x00,
9.0045558400,12918,0x00,
9.0045687200,12918,0x00,
9.0045816200,12918,0x00,
9.0057646400,12919,0x07,
9.0057740400,12919,0x2E,
9.0057898600,12920,0x27,
9.0057997000,12920,0x2E,
9.0058142600,12921,0xE1,
9.0058241000,12921,0x00,
9.0058386800,12922,0x20,
9.0058487200,12922,0x8F,
9.0107525400,12923,0x07,
9.0107619600,12923,0x0E,
9.0107795200,12924,0x20,
9.0107895400,12924,0x8E,
9.0111488200,12925,0x25,
9.0111586600,12925,0x46,
9.0112524800,12926,0xA0,
9.0112653800,12926,0x80,
9.0112782800,12926,0xB6,
9.0112911800,12926,0xDE,
9.0113040600,12926,0x24,
9.0113169600,12926,0x7D,
9.0113296800,12926,0x7D,
9.0113423800,12926,0x7D,
9.0113551000,12926,0x7D,
9.0113732800,12926,0x20,
9.0113861600,12926,0x20,
9.0113990600,12926,0x20,
9.0114119400,12926,0x40,
9.0114248400,12926,0xC2,
9.0114377400,12926,0x26,
9.0114506200,12926,0x40,
9.0114635200,12926,0x04,
